id,text,author,likes
1902,A smile is a curve that sets everything straight.,Phyllis Diller,2871 likes
1903,If we couldn't laugh we would all go insane.,Robert Frost,2871 likes
1904,Never interrupt your enemy when he is making a mistake.,Napoléon Bonaparte,2870 likes
1905,"She seems so cool, so focused, so quiet, yet her eyes remain fixed upon the horizon. You think you know all there is to know about her immediately upon meeting her, but everything you think you know is wrong. Passion flows through her like a river of blood. ",Neil Gaiman,2869 likes
1906,"If you want to know what God thinks of money, just look at the people he gave it to.",Dorothy Parker,2869 likes
1907,"Did you see that dress? ""I saw the dress. ""Did you like it? He didn't answer. I took that as a yes. ""Am I going to endanger my reputation if I wear it to the dance? When he spoke, I could barely hear him. ""You'll endanger the school. I smiled and fell asleep.",Richelle Mead,2868 likes
1908,Still round the corner there may wait,J.R.R. Tolkien,2868 likes
1909,"Who, being loved, is poor?",Oscar Wilde,2867 likes
1910,I'm sick of just liking people. I wish to God I could meet somebody I could respect.,J.D. Salinger,2866 likes
1911,The best books... are those that tell you what you know already.,George Orwell,2865 likes
1912,The library is inhabited by spirits that come out of the pages at night.,Isabel Allende,2865 likes
1913,"I had already found that it was not good to be alone, and so made companionship with what there was around me, sometimes with the universe and sometimes with my own insignificant self; but my books were always my friends, let fail all else.",Joshua Slocum,2863 likes
1914,Animals are my friends...and I don't eat my friends.,George Bernard Shaw,2863 likes
1915,It must require bravery to be honest all the time.,Veronica Roth,2862 likes
1916,"Lost love is still love. It takes a different form, that's all. You can't see their smile or bring them food or tousle their hair or move them around a dance floor. But when those senses weaken another heightens. Memory. Memory becomes your partner. You nurture it. You hold it. You dance with it.",Mitch Albom,2862 likes
1917,"Confidence is ignorance. If you're feeling cocky, it's because there's something you don't know.",Eoin Colfer,2860 likes
1918,You like someone who can't like you back because unrequited love can be survived in a way that once-requited love cannot. ,John Green,2859 likes
1919,"When the heart speaks, the mind finds it indecent to object.",Milan Kundera,2859 likes
1920,The scar had not pained Harry for nineteen years. All was well.,J.K. Rowling,2858 likes
1921,All great and precious things are lonely.,John Steinbeck,2856 likes
1922,"We do not grow absolutely, chronologically. We grow sometimes in one dimension, and not in another; unevenly. We grow partially. We are relative. We are mature in one realm, childish in another. The past, present, and future mingle and pull us backward, forward, or fix us in the present. We are made up of layers, cells, constellations.",Anaïs Nin,2856 likes
1923,Have you really read all those books in your room?,John Green,2855 likes
1924,I want to see you.,Jalaluddin Rumi,2854 likes
1925,"It's not always necessary to be strong, but to feel strong.",Jon Krakauer,2853 likes
1926,"My soul is from elsewhere, I'm sure of that, and I intend to end up there.",Jalaluddin Rumi,2853 likes
1927,The future is now. It's time to grow up and be strong. Tomorrow may well be too late.,Neil LaBute,2852 likes
1928,People shouldn't be afraid of their government. Governments should be afraid of their people.,Alan Moore,2851 likes
1929,I don't like people who have never fallen or stumbled. Their virtue is lifeless and it isn't of much value. Life hasn't revealed its beauty to them. ,Boris Pasternak,2850 likes
1930,Wisdom comes from experience. Experience is often a result of lack of wisdom.,Terry Pratchett,2845 likes
1931,"The reason it hurts so much to separate is because our souls are connected. Maybe they always have been and will be. Maybe we've lived a thousand lives before this one and in each of them we've found each other. And maybe each time, we've been forced apart for the same reasons. That means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come.",Nicholas Sparks,2844 likes
1932,الكراهية تكلف أكثر من الحب.. لأنها إحساس غير طبيعي.. إحساس عكسي مثل حركة الأجسام ضد جاذبية الأرض.. تحتاج إلى قوة إضافية وتستهلك وقوداً أكثر,مصطفى محمود,2844 likes
1933,Just because you're paranoid doesn't mean they aren't after you.,Joseph Heller,2843 likes
1934,"Anyone can hide. Facing up to things, working through them, that's what makes you strong.",Sarah Dessen,2840 likes
1935,"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it. Those who, like you, have leadership thrust upon them, and take up the mantle because they must, and find to their own surprise that they wear it well.",J.K. Rowling,2840 likes
1936,"Do not read as children do to enjoy themselves, or, as the ambitious do to educate themselves. No, read to live.",Gustave Flaubert,2839 likes
1937,I'm oxygen and he's dying to breathe.,Tahereh Mafi,2839 likes
1938,It is easy to love people in memory; the hard thing is to love them when they are there in front of you.,John Updike,2839 likes
1939,Crying is for plain women. Pretty women go shopping.,Oscar Wilde,2836 likes
1940,"I read once that the ancient Egyptians had fifty words for sand & the Eskimos had a hundred words for snow. I wish I had a thousand words for love, but all that comes to mind is the way you move against me while you sleep & there are no words for that.",Brian Andreas,2835 likes
1941,A party without cake is just a meeting,Julia Child,2834 likes
1942,You're a painter. You're a baker. You like to sleep with the windows open. You never take sugar in your tea. And you always double-knot your shoelaces.,Suzanne Collins,2834 likes
1943,"If A is a success in life, then A equals x plus y plus z. Work is x; y is play; and z is keeping your mouth shut",Albert Einstein,2834 likes
1944,In order to rise,Octavia E. Butler,2832 likes
1945,"When we are tired, we are attacked by ideas we conquered long ago.",Friedrich Nietzsche,2832 likes
1946,"I fell in love with her when we were together, then fell deeper in love with her in the years we were apart.",Nicholas Sparks,2831 likes
1947,"The glory of friendship is not the outstretched hand, not the kindly smile, nor the joy of companionship; it is the spiritual inspiration that comes to one when you discover that someone else believes in you and is willing to trust you with a friendship.",Ralph Waldo Emerson,2831 likes
1948,My rapier wit hides my inner pain.,Cassandra Clare,2831 likes
1949,"When we least expect it, life sets us a challenge to test our courage and willingness to change; at such a moment, there is no point in pretending that nothing has happened or in saying that we are not yet ready. The challenge will not wait. Life does not look back. A week is more than enough time for us to decide whether or not to accept our destiny.",Paulo Coelho,2830 likes
1950,This was another of our fears: that Life wouldn't turn out to be like Literature.,Julian Barnes,2829 likes
1951,"The only way that we can live, is if we grow. The only way that we can grow is if we change. The only way that we can change is if we learn. The only way we can learn is if we are exposed. And the only way that we can become exposed is if we throw ourselves out into the open. Do it. Throw yourself.",C. JoyBell C.,2829 likes
